codigo_nif,nombre,cluster_modelo_negocio,cluster_label,PC1,PC2,nofs_ventas,productividad_va_pax,inmovilizado_empleado,localidad
A46052809,CARTONAJES BERNABEU SA,3,C3,2.384309191756453,0.1627108441270384,0.276505881249745,138.325919811321,134.3303537735849,L'OLLERIA
B46132387,UBESOL SL,3,C3,1.4464387706281185,-0.09653891412090397,0.216378208813266,97.6499953882353,123.54531564705881,ATZENETA D'ALBAIDA
B54620182,ALBERO FORTE COMPOSITE SL.,2,C2,0.804723424421591,0.03221027239529668,0.311235643869234,91.4003927826087,54.730594028985514,BANYERES DE MARIOLA
A03137874,ACTIU BERBEGAL Y FORMAS SA,2,C2,0.4239995729187374,0.46370670879695197,0.442984881609601,77.898457480315,53.62809354330708,CASTALLA
B03307162,PLASTICOS VICENT SLU,3,C3,3.764502483240315,0.21151364265455352,0.173098035875609,156.069208767123,276.43700356164385,IBI
B03821873,ENVASES DURA SL,3,C3,0.9891896862784225,-0.20628238356181178,0.233346079818134,95.45183671875,62.49553854166667,CASTALLA
B46023677,PLASTICOS INDUSTRIALES Y COMERCIALES DE ALFARRASI SL,2,C2,0.40302032736319343,0.006515236436076519,0.291771430386843,66.6091087583893,75.64079775167785,ALFARRASI
B48051957,ITC PACKAGING SL.,3,C3,1.0709621632568296,-0.16893244521930484,0.228877482239768,93.1546875819672,82.41138073770492,IBI
B03036720,TEXTISOL SL,3,C3,1.2349672140672985,0.11691466461798809,0.238926851884442,71.801490661157,180.77665057851237,COCENTAINA
B03016268,BORNAY SL,3,C3,2.3528413000284467,1.0846065410999137,0.501425554424436,123.637254356436,198.73879742574258,IBI
B78970365,CLARIOS PLASTICS SPAIN SL.,3,C3,3.173276523075575,-0.1842713213300971,0.107868986452366,146.172134831461,213.8938988764045,IBI
A03046125,FLEJES INDUSTRIALES SA,2,C2,0.5531044899316323,0.4269412952999711,0.407681880622236,73.5675675675676,85.02027027027027,IBI
A03006384,RIPAY SA,2,C2,0.2652842287969734,-0.11479476588310879,0.280690207549525,69.4661425757576,43.92050295454545,CASTALLA
A03001948,DOMENECH HERMANOS SAU,2,C2,0.7758292931128024,-0.13804143026194698,0.241525918771273,80.4973704597701,81.25916459770114,MURO DE ALCOY
B96956115,VALLES PLASTIC FILM SL,2,C2,0.6847906092356854,-0.35741580870959894,0.168758160940783,71.0457852416667,93.09304041666665,L'OLLERIA
B54972146,INDUSTRIA PAPELERA DE MURO SL.,2,C2,0.5678168654119131,-0.4803765830735611,0.132984336999692,64.6567854117647,93.76812694117648,GAIANES
B03406485,IBERPAPEL SL,3,C3,4.972493209235446,0.1494675434572146,0.220649623969589,242.34793082162167,172.84581111111112,BENIMARFULL
B54867437,INDEN PHARMA PACKAGING S.L.,3,C3,4.4821209576312455,1.3408350514400285,0.277244382593619,102.378962125984,577.2843592000019,IBI
B54182324,BIOPOLIMEROS MAYA SL.,3,C3,1.6572814703621772,-0.059899296734299445,0.176009616204178,86.5297344444444,190.02812864444442,COCENTAINA
B98246291,LAMINADOS CAREVA SL,2,C2,0.7066288075343867,-0.3696536768404093,0.150860534367761,65.9726817391304,112.09068086956522,BOCAIRENT
B53888566,TERMOFORMAS DE LEVANTE SL,3,C3,2.910755456030289,0.28565988605706816,0.186280231064426,111.335522328767,298.61247273972606,CASTALLA
B46103297,PLASTICOS FERRANDO SL,3,C3,1.190707059214286,0.3356769870925256,0.411638756373613,117.036252105263,35.53946736842105,L'OLLERIA
A53199402,DURPLASTICS SA,2,C2,0.34399421776335104,-0.42297787950523486,0.207624814384148,78.59788,18.693591559633028,BANYERES DE MARIOLA
B03834330,PLASTIMODUL SL,1,C1,-0.5196074145651894,1.5248285050675068,0.795715389944368,56.5007718571429,12.244608999999999,IBI
B46715934,DUCPLAST SL,3,C3,1.9443849150145232,-0.46828376058453397,0.113481936857803,122.053108433735,108.1139156626506,LA POBLA DEL DUC
A46050746,BENIPLAST BENITEX SA,2,C2,-0.4087804263395251,0.3277931411639,0.437292910688551,50.8874564102564,17.2905641025641,BENIGANIM
B53048997,ALJUAN SL,1,C1,0.1736532725783983,0.775727356167591,0.525552029269216,63.9746104580153,69.66014984732824,IBI
B53794798,PRACTICEL SL,3,C3,1.587200105411537,-0.38804372236518325,0.125271497370208,100.208425217391,128.54372956521738,GAIANES
B46264800,VIDRIOS SAN MIGUEL SL.,2,C2,-0.5960126086280892,0.04119348104513117,0.345511697552322,36.6025450163934,29.151593803278686,AIELO DE MALFERIT
B04980181,JOVISA RECYCLING MACHINERY SL.,2,C2,0.704688484846264,-0.9309826634281017,0.0461647206976786,87.5407315384615,29.624341282051283,MURO DE ALCOY
B03145232,ENVAPLAST SL,3,C3,4.08637731520987,-0.25030653571280154,0.211640992209053,242.34793082162167,36.47508081081081,BENIMARFULL
