id,nombre,codigo_nif,localidad,codigo_primario_cnae_2009,sector,actividad,literal_codigo_cnae_2009_primario,fecha_constitucion,año,antiguedad,segmentacion_de_antiguedad,nombre_marca,marca_sn,nombre_auditor,auditor_sn,no_of_companies_in_corporate_group,grupos_corporativos,numero_de_participadas,participadas,remuneracion_consejo,consejo,importador_exportador,importacion_percent,importacion_euros,exportacion_percent,exportacion_euros,total_activo,fondos_propios,gastos_de_personal,coste_por_persona,personal_porcentaje,rendimiento,ebitda,inmovilizado,ingresos_de_explotacion,ingresos_de_explotacion_mil_eur_ano_1,ingresos_de_explotacion_mil_eur_ano_2,numero_empleados,valor_agregado,segmentacion_tamano_1,segmentacion_tamano_2,crecimiento,crece,capitalizacion,rotacion_de_activos,inmovilizado_tactivo,va_porcentaje,productividad_va_pax,productividad_ventas_pax,ultimo_ano_disponible,ult_año_disp,materiales,resultado_explotacion,resultado_del_ejercicio,deudores,deudores_sin_iva,existencias,acreedores_comerciales,acreedores_comerciales_sin_iva,deudas_financieras,dotaciones_para_amortiz_de_inmovil,cash_flow,fondo_de_maniobra,margen,coste,rotacion_stocks,competitividad,nofs_ventas,segmentacion_tamano_2_grp,segmentacion_tamano_1_grp,localidad_grp,sector_grp,inmovilizado_empleado,ebitda_porc,clientes_proveedores_sin_iva
1,CARTONAJES BERNABEU SA,A46052809,L'OLLERIA,1721,Papel y Cartón,Industria,Fabricación de papel y cartón ondulados; fabricación de envases y embalajes de papel y cartón,1971-12-29,1971,54,Mayor de 50 años,MOLDECAR,Sí,PricewaterhouseCoopers Auditores S.L.,Sí,24.0,Grupo Corporativo,2,Participadas,,No consejo,Importador / Exportador,0.0,0.0,0.0,0.0,156256.4,139811.88,17737.55,41.8338443396226,0.104050120838586,0.250128058754713,39084.11,56956.07,170471.21,170791.0,183400.0,424,58650.19,Más de 100M€,Más de 20M€,-0.00187240545461997,Se mantiene,0.894759382655686,1.09097105782547,0.364503917919522,0.344047478750224,138.325919811321,402.054740566038,2024-12-31,2024,96260.27,32681.84,26987.61,42192.19,34869.5785123967,17503.35,6336.33,5236.63636363636,88.77,6402.27,33389.88,53359.21,0.564671712015184,0.43532828798481604,5.49953408918864,3.10543132942802,0.276505881249745,Más de 5M€,Más de 10M€,,Papel y cartón,134.3303537735849,0.22927103057460554,6.658774085314375
2,UBESOL SL,B46132387,ATZENETA D'ALBAIDA,1392,Textil,Industria,"Fabricación de artículos confeccionados con textiles, excepto prendas de vestir",1979-10-19,1979,46,Entre 25 y 50 años,SUAVETT,Sí,Auditores Valencianos Asociados S.L.,Sí,5.0,Grupo Corporativo,2,Participadas,,No consejo,Importador,6.0,6706.16218914,0.0,0.0,135690.1658,99829.75745,18673.56928,43.9378100705882,0.121833979276958,0.162356469019806,22030.1762,52506.75915,153270.617859,132542.88422,126733.68875,425,41501.24804,Más de 100M€,Más de 20M€,0.156385110833979,Crece,0.735718442537271,1.12956319977464,0.386960682378354,0.270771062449678,97.6499953882353,360.636747903529,2024-12-31,2024,97694.95524,16103.26075,13391.654739,46193.60052,38176.5293553719,14840.91688,24022.15962,19853.0244793388,9.075,5926.91545,19318.570189,37012.35778,0.637401718637773,0.36259828136222705,6.5828112932602,4.1958952317922,0.216378208813266,Más de 5M€,Más de 10M€,,Textil,123.54531564705881,0.14373385132606745,1.92295785436131
3,ALBERO FORTE COMPOSITE SL.,B54620182,BANYERES DE MARIOLA,2229,Plástico,Industria,Fabricación de otros productos de plástico,2012-02-29,2012,13,Entre 10 y 25 años,TOYMA,Sí,Audit Iberica S.A.P.,Sí,3.0,Grupo Corporativo,0,No participadas,,No consejo,Importador / Exportador,26.0,15605.84642734,36.0,21608.09505324,132941.76679,117476.58973,20747.46384,30.068788173913,0.168556936463113,0.307374402316682,40862.89611,37764.10988,123088.757279,112127.14827,107675.08296,690,63066.27102,Más de 100M€,Más de 20M€,0.09776052613596,Crece,0.88366953867531,0.925884770836812,0.284065051878344,0.512364186739252,91.4003927826087,178.389503302899,2024-12-31,2024,36895.52258,32708.0914,26331.92036,21420.1106,17702.5707438017,25455.3866,5866.50195,4848.34871900826,2019.68186,8154.80471,34486.72507,41008.99525,0.299747299392832,0.7002527006071679,1.44941906244708,0.434459449657003,0.311235643869234,Más de 5M€,Más de 10M€,L'Alcoià,Plástico,54.730594028985514,0.3319791101422678,3.6512577311936427
4,ACTIU BERBEGAL Y FORMAS SA,A03137874,CASTALLA,3101,Mueble,Industria,Fabricación de muebles de oficina y de establecimientos comerciales,1983-12-22,1983,42,Entre 25 y 50 años,ELYR,Sí,ADN AUDIFIEL S.L.,Sí,10.0,Grupo Corporativo,4,Participadas,,No consejo,Importador / Exportador,11.0,6698.9591405,44.0,26795.836562,145291.38048,130622.95629,17837.06919,46.8164545669291,0.196922916327079,0.0887669600040406,12897.07416,20432.30364,90578.94085,88114.36505,78918.1746,381,29679.3123,De 50 - 100M€,Más de 20M€,0.0279701930394833,Se mantiene,0.899041332379527,0.623429556183951,0.140629840342198,0.327662390633926,77.898457480315,237.740002230971,2024-12-31,2024,38685.16908,8515.72793,5964.38603,30244.39018,24995.363785124,20841.70824,6911.48447,5711.97063636364,1039.4332,4381.34623,10345.73226,44174.61395,0.427087893907516,0.572912106092484,1.85614195508957,0.792735758392584,0.442984881609601,Más de 5M€,Más de 10M€,,Otros,53.62809354330708,0.14238490800370185,4.375961533485153
5,PLASTICOS VICENT SLU,B03307162,IBI,2222,Plástico,Industria,Fabricación de envases y embalajes de plástico,1987-12-22,1987,38,Entre 25 y 50 años,PLASTICOS VICENT S.L. SOCIEDAD UNIPERSONAL,Sí,KPMG Auditores,Sí,1515.0,Grupo Corporativo,1,Participadas,,No consejo,Importador / Exportador,35.0,13128.122938,79.0,29632.0489172,89423.93517,63186.47586,9031.63431,41.2403393150685,0.125985162185835,0.277394406685894,24805.69944,60539.70378,71688.0794,73159.3716,74630.038139,219,34179.15672,De 50 - 100M€,Más de 20M€,-0.0201107823621601,Se mantiene,0.706594668864425,0.801665451914153,0.676996641502195,0.476776013614336,156.069208767123,327.342828310502,2024-12-31,2024,28224.20881,21303.84785,15835.533129,10155.58897,8393.04873553719,7527.56212,4248.96959,3511.54511570248,0.0,3501.85159,19337.38472,13434.1815,0.393708536289787,0.606291463710213,3.7494488069399,1.4761900016738,0.173098035875609,Más de 5M€,Más de 10M€,,Plástico,276.43700356164385,0.34602265324463416,2.3901298314540296
6,ENVASES DURA SL,B03821873,CASTALLA,1721,Papel y Cartón,Industria,Fabricación de papel y cartón ondulados; fabricación de envases y embalajes de papel y cartón,1993-01-29,1993,32,Entre 25 y 50 años,DURABOX,Sí,PRB Audit Partners S.L.P.,Sí,2.0,Grupo Corporativo,0,No participadas,,No consejo,Importador,9.0,4652.1922014,0.0,0.0,53391.84376,37351.52811,7075.69475,36.8525768229167,0.101055689598427,0.203890754717776,10886.10332,11999.1434,70017.77711,68889.31364,75751.148729,192,18326.75265,De 50 - 100M€,Más de 20M€,0.0163808203387987,Se mantiene,0.699573670426099,1.31139462845177,0.224737385993579,0.261744279902062,95.45183671875,364.675922447917,2024-12-31,2024,42225.38075,7961.13584,6386.6403,20021.82038,16546.9589917355,5156.02255,6491.17536,5364.60773553719,6736.9081,2924.96748,9311.60778,18686.66757,0.603066570989003,0.39693342901099704,8.18952600391556,4.93882936520663,0.233346079818134,Más de 5M€,Más de 10M€,,Papel y cartón,62.49553854166667,0.15547627715883655,3.084467645625269
7,PLASTICOS INDUSTRIALES Y COMERCIALES DE ALFARRASI SL,B46023677,ALFARRASI,2222,Plástico,Industria,Fabricación de envases y embalajes de plástico,1964-02-26,1964,61,Mayor de 50 años,ROCK BAG,Sí,Auditing Firm S.L.P.,Sí,0.0,No Grupo Corporativo,0,No participadas,,No consejo,Importador,31.0,14609.3887426,0.0,0.0,55692.82012,26498.49476,11174.27465,37.4975659395973,0.16683855021982,0.152716175472423,8505.19449,22540.95773,66976.57487,65849.98455,76868.5046,298,19849.51441,De 50 - 100M€,Más de 20M€,0.0171084371195953,Se mantiene,0.475797323656879,1.20260699181128,0.404737229708094,0.296365026854948,66.6091087583893,224.753606946309,2024-12-31,2024,38916.69972,3710.77619,2687.06507,18030.50858,14901.2467603306,10353.16792,6912.20199,5712.56362809917,4148.49299,4794.4183,7481.48337,21471.474509,0.58104941609117,0.41895058390883,3.75891707936289,2.18411657409893,0.291771430386843,Más de 5M€,Más de 10M€,,Plástico,75.64079775167785,0.12698759986619781,2.6085042951703494
8,ITC PACKAGING SL.,B48051957,IBI,2229,Plástico,Industria,Fabricación de otros productos de plástico,1968-07-09,1968,57,Mayor de 50 años,ITC PACKAGING WWW.ITC-PACKAGING.COM,Sí,Casamitjana E Iborra Auditores S.L.P.,Sí,8.0,Grupo Corporativo,1,Participadas,,No consejo,Importador / Exportador,79.0,33644.7661482,17.0,7240.0129686,53122.06143,36285.16079,15081.09063,61.8077484836066,0.230887012009,0.153618992379528,8160.55755,20108.3769,65318.05535,63723.49298,76040.77778,244,22729.74377,De 50 - 100M€,Más de 20M€,0.0250231475933131,Se mantiene,0.683052573888039,1.22958434954696,0.378531562192804,0.347985616659973,93.1546875819672,267.696948155738,2024-12-31,2024,30626.50968,3903.14644,3024.8175,11334.22495,9367.12805785124,12175.35945,7977.1131,6592.65545454545,865.85517,4257.41111,7282.22861,15532.471299,0.468882754023999,0.531117245976001,2.51545014385592,1.17945119106123,0.228877482239768,Más de 5M€,Más de 10M€,,Plástico,82.41138073770492,0.1249357089134467,1.4208429550785744
9,TEXTISOL SL,B03036720,COCENTAINA,1320,Textil,Industria,Fabricación de tejidos textiles,1972-11-29,1972,53,Mayor de 50 años,"TEXTISOL, S.L.",Sí,PRB Audit Partners S.L.P.,Sí,0.0,No Grupo Corporativo,0,No participadas,,No consejo,Importador / Exportador,0.0,0.0,11.0,5544.6424077,40958.8673,11169.27811,4603.48903,38.0453638842975,0.0779013608482816,0.0999577109887509,4094.15462,21873.97472,59093.82044,50609.25037,50656.72283,121,8687.98037,De 50 - 100M€,Más de 20M€,0.167648601944704,Crece,0.272694994912616,1.44276012339824,0.534047354380818,0.147020116575831,71.801490661157,488.378681322314,2024-12-31,2024,41136.7236,2664.43073,1242.65779,5597.46111,4626.00091735537,11479.28631,2403.28596,1986.18674380165,16321.82909,1429.72389,2672.381679,14673.46146,0.696125640442684,0.303874359557316,3.58356107593243,2.49460874904894,0.238926851884442,Más de 5M€,Más de 10M€,El comtat,Textil,180.77665057851237,0.06928228010163831,2.329086593590388
10,BORNAY SL,B03016268,IBI,2420,Metal,Industria,"Fabricación de tubos, tuberías, perfiles huecos y sus accesorios, de acero",1965-04-01,1965,60,Mayor de 50 años,BORNAY,Sí,Doña Carmen Prieto Pastor,Sí,5.0,Grupo Corporativo,2,Participadas,,No consejo,Importador / Exportador,64.0,29316.101344,50.0,22903.204175,75504.1253,64767.29865,4570.90129,45.2564484158416,0.0784114873416499,0.0505204261998119,3814.50059,20072.61854,58293.77104,60922.96544,68341.88319,101,12487.36269,De 50 - 100M€,Más de 20M€,-0.0431560476580767,Se mantiene,0.857798145368356,0.772060742487669,0.265847971355811,0.214214357164017,123.637254356436,577.16604990099,2024-12-31,2024,45633.87414,1740.30765,4688.77546,10307.0021,8518.18355371901,25132.11805,5348.58132,4420.31514049587,2343.73012,2074.19294,6762.9684,30090.53883,0.782825906196512,0.21717409380348796,1.81575918309838,1.42142332794363,0.501425554424436,Más de 5M€,Más de 10M€,,Metal,198.73879742574258,0.06543581796042269,1.9270534527462317
